"statementText","ProlificID","click_rating","share_rating","agreement_rating","Educational.Level","DemRep_C_num","Ideology_econ_num","Ideology_soc_num","ideology","income_num","gender","Household","AttentionCheck2","top25pre","bottom25pre","lower25pre","upper25pre","top25post","bottom25post","lower25post","upper25post","inequality_subj_1","inequality_pol_1","inequality_luck_1_1","inequality_subj_2","inequality_pol_2","inequality_luck_2_1","item_nr","condition"
"Inequality and complacency: Experts weigh in on Minnesota’s lagging student achievement","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,103,"original"
"Global Wealth Report 2024","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,5,"original"
"The Paradox Of Progress For Black Americans","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,34,"original"
"How can we understand wealth inequality across countries?","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,3,"original"
"New report exposes tax system’s role in widening racial wealth gap, calls for urgent reforms","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,2,"original"
"Conservative Black columnist speaks on inequality and social justice at Susquehanna","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,36,"original"
"Jamie Dimon on how economic inequality fueled political polarization and what can be done","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,95,"original"
"Can Climbing Outrun its Own Elitism with Inclusive Gym Pricing?","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,44,"original"
"2024: A Defining Election For Black Rights And Economic Equality","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,31,"original"
"Project 2025 and GOP Agenda Would Increase Poverty and Wealth Gap, Experts Say","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,21,"original"
